,windSpeed,humidity,temperature,Affluent_Achievers,Rising_Prosperity,Comfortable_Communities,Financially_Stretched,Urban_Adversity,Not_Private_Households,hour,day_of_week,month
2012-10-15 21:00:00,3.82,0.82,11.77,259.32199980000007,1205.3449999000018,783.4620003999999,371.59199980000005,386.3489998,29.446000100000006,21,0,10
2012-10-15 22:00:00,3.9,0.89,11.46,198.02600010000003,928.0720004999996,623.6789995999999,297.30600029999994,312.97800040000027,22.119999999999997,22,0,10
2012-07-01 23:00:00,4.39,0.79,13.99,82.271,514.8690000000004,310.9179999999999,142.279,215.8140001,6.409,23,6,7
2012-07-02 00:00:00,3.83,0.84,13.58,66.5949999,425.55199990000017,253.67100020000004,110.98,196.7360001,4.807,0,0,7
2012-07-02 01:00:00,3.19,0.84,13.48,54.95100000000001,378.75700029999973,220.50899990000005,95.75299999999999,179.91699979999996,6.1460001,1,0,7
2012-07-02 02:00:00,2.98,0.84,13.39,54.5849999,340.3160001000001,200.59199989999996,89.488,143.65699999999998,4.350999999999999,2,0,7
2012-07-02 03:00:00,2.66,0.83,12.97,53.617000000000004,330.12699969999994,194.7629999,88.56800000000003,131.834,4.395999999999999,3,0,7
2012-07-02 04:00:00,3.15,0.86,12.47,54.45800009999999,336.9990002000002,197.41499990000005,95.7129999,140.18100010000003,4.896000000000001,4,0,7
2012-07-02 05:00:00,3.79,0.82,13.32,63.6120002,393.0410002999999,231.50900010000007,120.88699999999999,155.76299999999992,8.498999900000001,5,0,7
2012-07-02 06:00:00,4.46,0.79,14.23,91.9139998,526.0030002000001,320.33399990000015,170.76299989999998,205.5110000000002,8.628,6,0,7
2012-07-02 07:00:00,4.82,0.79,14.77,106.20500000000003,639.4150002999993,376.1599998,172.25700010000003,250.39899989999992,9.597000000000001,7,0,7
2012-07-02 08:00:00,4.6,0.74,15.74,92.863,632.4959998999998,337.54199989999995,173.93900010000004,236.3919997000001,10.308,8,0,7
2012-07-02 09:00:00,4.62,0.76,15.49,108.78399989999998,640.1959997,347.54699999999997,187.76099979999995,237.5480002000001,9.3559999,9,0,7
2012-07-02 10:00:00,5.29,0.79,15.3,101.1639999,630.3669997999999,350.29399990000013,189.19699999999997,238.4730000000003,8.504000000000001,10,0,7
2012-07-02 11:00:00,5.88,0.73,16.52,97.2409998,643.1800003,372.1949998999999,188.31099999999998,257.3629997000003,7.586,11,0,7
2012-07-02 12:00:00,6.34,0.66,17.47,105.26100029999999,605.7500001999998,364.3650001000001,181.43499999999997,241.8369999,7.056999900000001,12,0,7
